Problem_Name,Id,Parent_Id,Text,Date,Up_Votes,Username,Parent_Up_Votes,Parent_Date,Parent_Text
"find-the-winner-of-the-circular-game
",5,1,"Here you go, guys:","Jul 08, 2024",7,SSHshadow2222,248,"Jul 08, 2024",Leetcode please for the love of god don't use black lines on grey background.
"find-the-pivot-integer
",35,30,Can you share the thought process behind it?,"Mar 13, 2024",1,amandollar,21,"Mar 23, 2023","int sum = (n + 1) * n / 2;
int pivot = (int) Math.sqrt(sum);
return pivot * pivot == sum ? pivot : -1;"
"find-if-array-can-be-sorted
",137,136,"@Sajib67 thank you so much, i made the mistake of thinking that the bits should be together as well.
for e.g. 6 is 110, then it can only be swapped with 1100, 11000, 110000 etc.","Nov 06, 2024",0,dhumrpaan,0,"Nov 06, 2024","why is the output of the testcase [6,96,20] true?"
"minimum-difficulty-of-a-job-schedule
",46,41,@darkpotter hi! binary search is not possible as our answer need to be monotonic in nature to apply binary search but here there are some numbers in between possible answers which can never be our answer no matter how we iterate in bool function,"Dec 29, 2023",0,Gladvenom,13,"Mar 13, 2021","Hi Guys,I wanted to ask if this problem can be solved by binary search? like 1011. Capacity To Ship Packages Within D DaysSince, it also looks like similar problem.Can anyone tell, why it cannot be done ?"
"even-odd-tree
",25,23,Dry ahh jokes .... Thats why she left,"May 05, 2024",0,Dane101,16,"Feb 29, 2024","Ex:Why are you such a pro in tree data structures?Me: Well, you see, trees are like relationships. They have branches, some are rooted, and occasionally, you'll find some leaves trying to disconnect. But unlike you, a tree is always there to provide structure, support, and most importantly, it never leaves me hanging!"
"reverse-words-in-a-string
",11,6,@Naga sri ram,"Jun 19, 2024",5,ejini6969,177,"Jul 13, 2023","some of the easy one looks medium , medium one looks easy .... did anyone feel like that"
"maximum-xor-for-each-query
",57,54,Yes. NOTE: I work in the computer network industry where these are used a lot,"Nov 08, 2024",0,ashwin_nat,5,"Nov 08, 2024",Has anyone actually been asked a bit manipulation question in an interview???
"count-subarrays-where-max-element-appears-at-least-k-times
",186,185,"How do you think we can apply monotonic stack? Nothing comes to my mind regarding that, since we only care about the occurrences of the Maximum number.","Mar 29, 2024",0,LearnWithEmKay,0,"Mar 29, 2024","Would monotonic stack work here? I thought it was similar that we only care about largest/smallest value, and the # of subarrays it is affecting"
"meeting-rooms-iii
",23,20,Thanks :),"Jan 11, 2024",0,phase2_goyaltu,30,"Aug 29, 2023","I used Integer types and finally managed to pass all tests. The main issue that caused me to fail on the 80/82 and 81/82 test cases is that when the end times are equal, the PriorityQueue should also compare the room numbers."
"count-common-words-with-one-occurrence
",10,8,use count function,"Jun 01, 2024",0,Abdul_Qavi,0,"May 13, 2023",is there any other solution except HashMap ?. Can we solve this problem using any other possible way ?Ask Question
"spiral-matrix-iii
",18,13,@MrVedant666 looks like you need to grow up .,"Aug 08, 2024",0,Antiseptic,293,"Mar 27, 2024","dekh rahe ho Binod, kaise kaise questions bana ke candidates ko reject kiya ja sakta h"
"keyboard-row
",2,1,lol,"Mar 25, 2024",0,risabhuchiha,45,"Dec 02, 2022",the number of loops in this solution may exceed the number of minutes you spend on it :)
"design-hashmap
",46,45,"@BiggestChungus ""Chaining"" is one way to resolve hash collisions.","Oct 05, 2023",1,psionl0,3,"Oct 04, 2023",Use linked list and hash function if you really want to learn something.
"sum-of-digits-of-string-after-convert
",41,36,@SSHshadow2222 weirdo freak,"Feb 13, 2024",8,avi94,24,"Apr 26, 2023","Am I the only one who felt this is not an easy level problem to solve? If not, please reply with ""you need to study more"" so that I can grind more. If its an easy please upvote. By this, I can assess where I stand."
"count-unguarded-cells-in-the-grid
",34,33,"Why? It's O(mn), you literally can't get better complexity. Even if you've somehow written algorithm that doesn't go cell by cell, but instead somehow deducts answer from guards and walls, in worst case scenario, they can still occupy every cell in the grid in, which is still O(mn)","Nov 21, 2024",3,michalsuch429,5,"Nov 21, 2024",I thought 4nm would for sure TLE
"maximum-strength-of-k-disjoint-subarrays
",10,9,"i was wondering for 1 hr thinking why it was timing out, u saved me thanks","Mar 11, 2024",0,21Cash,6,"Mar 10, 2024","If anyone here is doing the question in O(N* K * 2) using recursive dp in C++ and still getting TLE
Mostly everyone is getting this wrong
useinstead of"
"shortest-distance-after-road-addition-queries-i
",137,136,"i did , it worked, but how","Nov 16, 2024",0,dhanush__27,0,"Aug 05, 2024","If your are solving it with plain BFS , then must use visited array to avoid TLE."
"minimum-suffix-flips
",4,3,There is another very similar question that is essentially the same problem but using light bulbs (on/off) instead of a binary string. I think it was blindly copied and pasted from there.,"Oct 18, 2024",0,BlackStallion456,2,"Oct 16, 2024",I love how the hint out of nowhere switches from bit flips to light bulbs :) The superficial randomness of that move is hillarious :P
"furthest-building-you-can-reach
",19,17,"@mac_gillicutty This actually works (and can be made even faster than you suggest), unlike this ""Tip""'s idea.","Feb 17, 2024",0,sergei99,125,"Feb 17, 2024",
"find-all-duplicates-in-an-array
",164,163,"that's O(n) space, not O(1)","Mar 25, 2024",2,Mister_CK,0,"Mar 25, 2024",hash-map is key
"maximum-ice-cream-bars
",16,13,"@djslim Yes, return false","Jan 06, 2023",0,XJRr8TyB,135,"Jan 06, 2023",Easiest Medium ever seen
"minimum-common-value
",13,12,Can you explain why HashSet is not optimal?,"Mar 09, 2024",0,zyy13,38,"Mar 09, 2024","A Friendly Tips -
Don't use HashSet:- It's not optimal
Brute Force:- TLE
Use 2 Pointer:- Imagine nums1 as your Crush and nums2 as You, embarking on your journey together. When your Crush finds something common with You, she will respond by saying, 'You deserve better.'Another Tips : use this to get a better run time-
if (nums1[nums1.length-1] < nums2[0] || nums2[nums2.length-1] < nums1[0]) return -1; //In Java"
"calculator-with-method-chaining
",13,11,I was also getting this error when I was returning this.result from every functions. Then I tried changing it to returning this only except the getResult function. I don't know why this works. If anyone knows please tell.,"May 18, 2024",0,Dinesh_k40,1,"Feb 10, 2024","Line 140 in solution.js
throw err;
^
TypeError: calculator.subtract is not a function
Line 107: Char 45 in solution.js (Object.)
Line 16: Char 8 in runner.js (Object.runner)
Line 66: Char 26 in solution.js (Object.)
at Module._compile (node:internal/modules/cjs/loader:1376:14)
at Module._extensions..js (node:internal/modules/cjs/loader:1435:10)
at Module.load (node:internal/modules/cjs/loader:1207:32)
at Module._load (node:internal/modules/cjs/loader:1023:12) i dont know why it is getting"
"unique-paths-iii
",46,42,"Take a look at the dimensions of visited. It should be have the same dimensions as grid, that is m x n.
Can you spot the one character that needs to be changed?","Dec 31, 2022",0,siebenschlaefer,1,"Dec 31, 2022","==31==ERROR: AddressSanitizer: heap-buffer-overflow on address 0x6040000002c8 at pc 0x000000347a28 bp 0x7ffea72c7e40 sp 0x7ffea72c7e38
READ of size 8 at 0x6040000002c8 thread T0
#3 0x7f0b0c76e0b2 (/lib/x86_64-linux-gnu/libc.so.6+0x270b2)
Address 0x6040000002c8 is a wild pointer.
Shadow bytes around the buggy address:
0x0c087fff8000: fa fa fd fd fd fd fd fd fa fa 00 00 00 00 00 06
0x0c087fff8010: fa fa fd fd fd fd fd fd fa fa fd fd fd fd fd fa
0x0c087fff8020: fa fa fd fd fd fd fd fd fa fa fd fd fd fd fd fa
0x0c087fff8030: fa fa fd fd fd fd fd fd fa fa fd fd fd fd fd fa
0x0c087fff8040: fa fa fd fd fd fd fd fd fa fa 00 00 00 00 00 fa
=>0x0c087fff8050: fa fa fa fa fa fa fa fa fa[fa]fa fa fa fa fa fa
0x0c087fff8060: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
0x0c087fff8070: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
0x0c087fff8080: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
0x0c087fff8090: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
0x0c087fff80a0: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
Shadow byte legend (one shadow byte represents 8 application bytes):
Addressable: 00
Partially addressable: 01 02 03 04 05 06 07
Heap left redzone: fa
Freed heap region: fd
Stack left redzone: f1
Stack mid redzone: f2
Stack right redzone: f3
Stack after return: f5
Stack use after scope: f8
Global redzone: f9
Global init order: f6
Poisoned by user: f7
Container overflow: fc
Array cookie: ac
Intra object redzone: bb
ASan internal: fe
Left alloca redzone: ca
Right alloca redzone: cb
Shadow gap: cc
==31==ABORTING"
"maximum-sum-of-3-non-overlapping-subarrays
",7,5,great,"Apr 23, 2024",0,singhneeruk,3,"Mar 13, 2024","Choose 3 subarrays. They must be non-overlapping. Their TOTAL sum must be the maximum among all such combinations.
For example:
Input: nums = [1,2,1,2,6,7,5,1], k = 2
Use sliding window to find subarrays: [3,3,3,8,13,12,6] (the sum of k elements from 0th index is 3, 4th index is 13,....)Now if we become greedy and choose (val = 13, index = 4), we can't choose 8 or 12. The maximum sum we can achieve is 13+6+3 = 22.
If we choose 12 at first, the maximum sum could achieve is 12+8+3 = 23. And hence we should go with these subsets: (0, 3, 5) or (1, 3, 5). Out of these, (0,3,5) is lexicographically smaller so that is our answer."
"longest-unequal-adjacent-groups-subsequence-ii
",35,34,"I have got this memoisation approach during the contest.
Here is the code.","Oct 15, 2023",0,anuron_das,0,"Oct 14, 2023",anyone with memoisation approch ??
"longest-happy-string
",5,1,bro is the three eyed raven,"Oct 16, 2024",17,vedangc03,88,"Oct 13, 2024","Keep count of a, b and c inserted to string consecutively....and for the rest think and type out all the edge cases.PS: And I have a feeling this question is gonna be asked this week, so PRE-SOLVED it."
"first-unique-character-in-a-string
",144,143,Nothing wrong with a respite question nor in giving beginners a bit of confidence.,"Feb 05, 2024",1,psionl0,0,"Feb 05, 2024","LeetCode at least give easy medium level question , what's the point of question like these ? Now it feels like I didn't do any coding today."
"best-team-with-no-conflicts
",35,30,There's no limit.,"Jan 31, 2023",1,XTJ0127ABC,5,"Jan 31, 2023",Does the size of the basketball team has a limit? Or should we add to the team as much members as possible?
"continuous-subarrays
",2,1,Same thought here!,"Sep 14, 2023",1,mithindev,16,"Jul 25, 2023","It took sometime to realize that,
In example 1, the reason why sub arrays [5,4,2] or [5,4,2,4] is not included in the solution is due to the fact that nums[0] - nums[2] exceeds 2. 5-2=3 which is greater than 2. taking any 2 index into consideration the unsigned difference should be less than or equal to 2."
"jump-game-iv
",15,13,"For me, 31/33 :(","Mar 05, 2023",0,kaichamp101,9,"Mar 05, 2023",TLE on 22/33 😭
"merge-triplets-to-form-target-triplet
",11,6,cuz you have done 500 problems and it's easy for you:),"Aug 16, 2023",5,Lhy121125,13,"Apr 07, 2023",Why this question is even in the medium list....🤔🤔
"number-of-arithmetic-triplets
",7,6,I think using a Set should suffice,"May 27, 2024",0,cg32485,18,"Jul 29, 2023","My approach simple, store all the elements in Hashmap and check of( map[nums[I]-diff] and map[nums[I]+diff]) and increase count if above condition is true... suggestions are welcome to make the approach efficient😇"
"minimum-increment-to-make-array-unique
",249,246,You're only allowed to increment (increase not decrease). So you'd go 2 => 8 (6 moves),"Jun 14, 2024",1,ManipulativeMicrobe,0,"Jun 14, 2024","If the test case is [1,2,2,3,4,5,6,7]. why the output is 6 not 2 ?
can't I just move 2 to 0?"
"all-paths-from-source-to-target
",31,30,"You can use hash map, or use List>","Aug 11, 2023",0,mochiball,2,"Dec 30, 2022",Can someone please tell me how do we create this int[][] graph (adjacency list) in java? As in initialize graph.
"longest-increasing-subsequence
",12,7,@user8675309 sahi me,"Jan 31, 2024",1,mepradeepkr,1.1K,"Jan 05, 2024",I wish everyone who comes across this message attains their dream job in 2024!
"find-the-maximum-sum-of-node-values
",2,1,This is even funnier with your profile photo.,"May 20, 2024",2,LingKong39,255,"May 19, 2024",fuck you alice
"binary-subarrays-with-sum
",2,1,Congratulation bro for completing 1000 problem,"Nov 08, 2024",1,Prashant__s,301,"Mar 14, 2024",This marks my 800th problem on LeetCode! My next goal is 1000.
"excel-sheet-column-title
",17,15,for 52 what is the answer,"Aug 22, 2023",0,adityashivhare7291,82,"Jul 13, 2015","consider the letter 'A' to have a value of 1, 'B'->2 ..... 'Z'->26
note that in the above notation, values are 1-basedhere our Radix (R) == 26the final value of a number X Y Z = X * R^2 + Y * R + Zthis looks similar to base-10 decimal number but the biggest difference is that the numbers on every digit starts with 1, instead of 0., and the max on each digit goes up to R (Radix) instead of R-1for example
Z== Radix
then next number is AA = R + 1 = Z+1
ZZ = R * R + R
next number is AAA = 1*R^2 + 1 * R + 1 = ZZ +1"
"sort-array-by-increasing-frequency
",264,262,@zabaxa It can be solved in O(N) using counting sort.,"Jul 23, 2024",0,rambosalad,0,"Jan 05, 2024",can this challenge be solved using an O(n) Time Complexity solution?
"split-a-string-in-balanced-strings
",3,1,https://leetcode.com/problems/split-a-string-in-balanced-strings/solutions/2444611/easy-c-solution-faang-optimized/,"Nov 18, 2022",0,AdityaBhate,136,"Oct 16, 2019",The problem statement is correct but the examples listed are confusing. This should be one of the examples so that people don't mistake the question as asking us to match with 'L's on one side and 'R's on the other side. The 'R's and 'L's can be in any order as long as there is an equal number of them in the substring.
"maximum-profit-in-job-scheduling
",46,45,u dont include the TLE testcases :-,"Jan 06, 2024",0,vishakha036,8,"Jan 06, 2024","Be aware of possible TLEs, for which a testcase can be found under
1235_Maximum_Profit_in_Job_Scheduling.txt
Smaller testcases:"
"contains-duplicate
",247,245,Only its low efficiency:,"Sep 10, 2023",1,sergei99,0,"Sep 09, 2023","class Solution(object):
def containsDuplicate(self, nums):
smap = {}"
"uncommon-words-from-two-sentences
",26,21,use string stream,"Sep 17, 2024",2,niteshsaxena03,40,"Jan 18, 2023","This question looks easy on the surface, but it is not as easy as it seems!"
"minimum-deletions-to-make-string-balanced
",48,47,"Not required, its a simple count problem.","Jul 30, 2024",7,Vsoni27,4,"Jul 30, 2024",DP is really a good method to solve this problem.
"maximum-sum-of-distinct-subarrays-with-length-k
",313,311,i m stuck on the same test case,"Nov 06, 2022",0,Minatokun,0,"Nov 06, 2022","79/82 test cases passed!Failed output
Output: 705082704
Expected: 5000050000`class Solution {
public long maximumSubarraySum(int[] nums, int k) {
HashMap<Integer, Integer> map = new HashMap<>();"
"number-of-atoms
",325,324,"@anujmore You're welcome! If you need any further help, feel free to ask, I'll be sure to reply if i can help.","Jul 15, 2024",1,zabaxa,0,"Jul 14, 2024",When do we need to add and when do we need to multiply the formula?
"wiggle-sort-ii
",34,33,My bad. I was returning a new array rather than modifying in place. Misread the problem.,"May 30, 2024",0,deuberger,0,"May 30, 2024",This problem is broken (at least for me). I hardcoded my output to match the expected output below and still the first test case keeps failing saying the output is the same as the input.InputOutput
"determine-if-two-strings-are-close
",76,75,same,"Jan 14, 2024",1,1101aytida,2,"Aug 10, 2023","why is this incorrect?
`
if (word1.size() != word2.size()) return false;set words_1{word1.begin(), word1.end()};set words_2{word2.begin(), word2.end()};return equal(words_1.begin(), words_1.end(), words_2.begin(), words_2.end()) && ;
`fails on 132 testcase:

expected false, but:"
"minimum-time-to-make-rope-colorful
",10,7,"@sarpalmadhav Was not to me :( , I straight up sorted colors in ascending order based on neededTime, then checked for neighbours if they are same, then figured out vacant balloons is not a gap.","Dec 27, 2023",0,AgX111,55,"Oct 03, 2022","1.Here vacant site is not considered as gap, if the balloon before vacant site is equal to the balloon after vacant site that also need to be taken care of."
"number-of-atoms
",110,109,us bro us. every single time you think you understand organic chemistry something will pop out of now where and bite you in your arse.,"Jul 14, 2024",0,SILICON-HAWK,2,"Jul 14, 2024","Chemistry in Coding. Great, just what I needed—a flashback to my JEE days where chemistry and I had a toxic relationship!"
"minimum-number-of-taps-to-open-to-water-a-garden
",118,117,"The central one, obviously.","Sep 01, 2023",0,sergei99,0,"Aug 31, 2023","[4,0,0,0,4,0,0,0,4]how this T.C require only 1 tap?"
"magnetic-force-between-two-balls
",83,82,Gubba nub nub doo rah kah,"Jun 20, 2024",0,chijk,4,"Jun 20, 2024",wubba lubba dub duuuuuuuuuuuuuuuuuuub
"filling-bookcase-shelves
",44,39,"Add this MLE Testcase for the O(n
3
) dynamic programming solution:","Jul 31, 2024",1,aitachii,34,"Jul 31, 2024",TESTCASES------------>
"maximum-number-of-non-overlapping-substrings
",6,5,Can you share the solution here ? Trying to learn how to implement this with graphs..,"Oct 24, 2024",0,parthasarathydNU,2,"Feb 20, 2024","I got the intuition it is graph but can't get it,, so watched the solution took 2 hrs to understand and code but fails and fails but finally i myself found the error and debug it and that feeling my god😊. Even though it took 3 hrs i feel it is worth."
"number-of-digit-one
",3,1,"@pranavop2580 thanks you deserve a cookie for this, the description is pretty bad","Apr 23, 2024",3,grindman,68,"Dec 24, 2022","for intput = 13for 1 (count += 1 means count = 1)
for 10 (count += 1 means count = 2)
now for 11 here ( count += 2 means count = 4)
then for 12 (count += 1 means count = 5)
and for 13 (count += 1 means count = 6)so the output = 6"
"delete-node-in-a-bst
",49,48,"Yes, very much🙂","Jul 15, 2024",0,Joy1654,1,"Jun 18, 2024",Should the answer also be a BST ?
"number-of-dice-rolls-with-target-sum
",30,28,"As everyone knows that it is done to avoid overflow problem, and some have discussed that it is a big enough prime number which is easy to remember, But why we need prime number?
The answer is when we work on module over fractions i.e where there is numerator and denominator there we can't go with simple modulo logic which we used in multiplication, addition etc., for more detail please refere chinese remainder theorem for modules","Dec 26, 2023",2,i-var,16,"Aug 13, 2019",Why must the answer be returned modulo 10^9 + 7?
"number-of-good-leaf-nodes-pairs
",266,264,"alright i found tree is not unique so i solve it by storing root instead of root->val (leaf nodes)
but it is showing tle","Jul 18, 2024",0,priyanshyadav,0,"Jul 18, 2024","can anyone tell me why my method is not working so i find all leaf nodes then using double forloop
i find lca and by that lca i find distance btw the lca to one leaf node to another leaf node and add them up to find distance btw them and compare with maxdistance and do count++
it is working for 29 testcases but after that sad:("
"trips-and-users
",6,1,"@chaosxlive yaa exactly so you need one more condition as
request_at BETWEEN DATE(""2013-10-01"") AND DATE(""2013-10-03"")","Jul 26, 2023",2,gjs190201,83,"Oct 07, 2022",A test case seems wrong:Both the client and driver are not banned:
"ugly-number-ii
",3,1,"find all the number multiple of 2,3 and 5 and return the nth number","Aug 18, 2024",3,Baskar_66,283,"Aug 18, 2024",I don't even understand the problem. Ugly question
"shortest-bridge
",15,12,I am thinking about this solution.,"May 21, 2023",2,cecilia5,21,"Apr 11, 2019","I know this is beyond this problem, but when I first read this question I ignored ""there're two islands"" and thought about half an hour without any idea.
Now I've solved this problem and start thinking about this again. What if there're more than 2 islands?
I haven't got my answer from search engine because I don't know how to describe this question, so can somebody give me a link to such solution?"
"average-selling-price
",49,46,"These are equivalent statements. Some coders might prefer one or the other, but the output is the same.","Aug 04, 2023",0,AeonixClist,18,"Dec 04, 2020","Hi,
Can someone please explain the logic of start date and end date - I know there's duplication but why are we doing this like the between thing as mentioned below to get it correct? Please explainu.purchase_date >= p.start_date and u.purchase_date <= p.end_dateORpurchase_date BETWEEN start_date AND end_date"
"count-triplets-that-can-form-two-arrays-of-equal-xor
",46,45,"It wouldn't be wrong to say that the constraints are just fine - In case of array of size 1, you can find zero triplets with i < j and zero would be valid answer to a somewhat valid question.","May 30, 2024",0,sarpalmadhav,8,"May 30, 2024","Wrong constraint !!!
Description : 0 <= i < j <= k < arr.length
Constraints : 1 <= arr.length <= 300
Problem : If i must smaller than j, the array length must be at least 2"
"shortest-distance-after-road-addition-queries-i
",19,17,Happy Birthday!,"Nov 27, 2024",1,_BREEZE_,70,"Nov 27, 2024","Today is my birthday, makes me glad Leetcode chose a problem that seems to be fun 😌"
"expression-add-operators
",88,87,you have extra spaces there,"Apr 01, 2024",0,davidsergeev973,0,"Jan 16, 2023",It seems that the order of the results matters but I can't figure out what the pattern is.Any idea how to mitigate this after collecting all the solutions?
"string-compression
",380,375,Send the code,"Sep 07, 2023",0,tridibghosh_11,0,"Sep 07, 2023","why does my output show this?
[""a"",""a"",""b"",""b""] where another online compiler gives correct output.
[""a"",""2"",""b"",""2"",""c"",""3""]"
"minimum-operations-to-make-binary-array-elements-equal-to-one-i
",3,1,"Small addition: there is also old task which is more complex variant of this one: https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips/description/
Anyone who solved it and remember about that task can just copypaste old code with few corrections and it gonna work with new task. There are also proofs that greedy approach works correctly for those type of tasks. You can find them in comments & solutions for old task. To be honest I would rate this task as medium-easy and hard version as medium-hard. They both not very complex.","Jun 24, 2024",1,AlexPG,22,"Jun 22, 2024","Just after 10 mins of the contest i have seen 3k solutions accepted (and around 2-2.5k for 2nd version of this question)
Am i Dumb or people have really become smart!!😓"
"concatenated-words
",10,7,"but the min length is 1
string can not be empty
also question states that only lowercase alphabets are there
so no blank space is there
so I can't understand how that part of code even bothered","Jan 27, 2023",3,AkashAgarwal00,14,"Jul 27, 2018","Initially I failed the last test cases.
My idea was, if there is empty string in the given list, then all the non-empty string can be regarded as a concatenated word of an empty string and itself. So once I found an empty string, I return all the non-empty ones. And it seems that this assumption is not right since I passed all the cases after changing this.
This is what made me confused, what do you guys think."
"lucky-numbers-in-a-matrix
",34,33,"Thanks for this.
See you tomorrow.","Jul 19, 2024",0,psharma11_be21,27,"Jul 19, 2024",TESTCASES-------------------->
"binary-tree-pruning
",14,13,https://leetcode.com/problems/binary-tree-pruning/solutions/140075/4ms-c-solution-without-recursion/,"Feb 04, 2023",0,Four0One,1,"May 04, 2019",I checked the discussion. most are using recursion.Is there any solution not using recursion? how to use stack to solve this problem?
"word-pattern
",46,42,"yeah lol, for quite sometime didn't understand why dog cat cat dog was working but not that one, then it hit me 😂","Feb 17, 2024",0,mendi,14,"Jun 30, 2023","For javascript/typescript leetcoders. Watch out ""constructor"" for when using plain object ({}). Test case 40 has ""constructor"" to fail the codes using plain objects. Use Map instead of plain objects."
"find-duplicate-subtrees
",10,9,Congratulations my friend!,"Feb 28, 2023",2,Movsar,40,"Feb 28, 2023",my first badge : )
"maximize-greatness-of-an-array
",5,3,"You're right, it is not necessary to use sorting here. The official hint is for freshmen.","Mar 19, 2023",0,brinuke,5,"Mar 18, 2023","O(nlogn) is accepted, but if you want more of a challenge, there is a less obvious O(n) solution to find."
"smallest-range-covering-elements-from-k-lists
",147,145,"@4onen so the result is the range [a,b] which b-a mininum, a minimum and {a,b} belong to all list?","Oct 13, 2024",1,haucle,0,"Oct 13, 2024","I don't understand example 1, why not return [0,5]?"
"reconstruct-itinerary
",2,1,Hahahaaha... funniest comment ever,"Feb 03, 2024",1,Syed_Bilal,408,"Sep 14, 2023",ME:
"sort-characters-by-frequency
",5,1,"I think, it's fixed now. I use some test cases. My output was different but accepted.","Feb 07, 2024",3,hafid-hub,80,"Nov 07, 2016","I think there is an issue with the test cases. I am getting wrong answer on this test case ""loveleetcode"". The official answer is ""eeeeoollvtdc"" while I get the answer ""eeeeoolltvcd"". According to the problem statement this answer should be correct as the characters with same frequency can be arranged in any order.Thanks"
"count-alternating-subarrays
",7,3,"same..first I changed my answer variable to long, still got runtime error, then I changed everything to long and it was accepted. Feels so bad to get wrong submissions in cases like these😥","Mar 31, 2024",1,satstar,9,"Mar 31, 2024",Use Long!! 😭 resulted in 2 wrong submissions!
"find-score-of-an-array-after-marking-all-elements
",21,20,"Here is the code link for reference:-)
https://leetcode.com/problems/find-score-of-an-array-after-marking-all-elements/solutions/3457725/easiest-solution-priorityqueue/","Apr 26, 2023",0,cOde_Ranvir25,0,"Apr 26, 2023","Here is an Approach :-)Create a priority queue to store the unmarked integers in the array. The priority queue will be sorted in ascending order of the integers. In case of a tie, the one with the smallest index is selected.Initialize a boolean array ""seen"" of size n (n = length of nums) to keep track of marked elements. Mark all elements as ""false"".Initialize a variable ""score"" to 0.While the priority queue is not empty, repeat the following steps:
a. Remove the element with the smallest value from the priority queue.
b. Check if the element is already marked. If it is, move to the next element.
c. If the element is not marked, add its value to the score.
d. Mark the element as seen by setting the corresponding index in the ""seen"" array to true.
e. If the element has adjacent elements, mark them as seen too."
"find-customer-referee
",26,25,"@anushka42003 NULL is basically an 'unknown' value. and you cannot compare any attribute with an unknown or let's say a missing value.
any comparison operation (>, <, =, >=, <=, != or <>) will give either TRUE or FALSE as an output, except the case of NULL. for that, we need to you ""IS"" or ""IS NOT"".","Mar 01, 2024",2,anish_sule,41,"Dec 06, 2022","I suppose it would be helpful to know that = NULL and a function isNull () works differently. Well, apparently, ""=Null"" doesn't work at all."
"design-add-and-search-words-data-structure
",12,7,"@Nikhil Arora The only thing I got from reporting stuff is their boilerplate ""Thank you for your time, we don't care ..."". When they accept one of your test cases let me know. Look at the first 100 problems in their problem list (e.g. 3sum). Those problems have been there for years. Nevertheless, several of those problems still have ambiguous or wrong problem descriptions, weak tests, misleading constraints and whatnot. I don't want to know how many hours have been wasted by users reporting stuff (and again, I myself have spent some time writing detailed reports). One thing is certain: if they did take user feedback seriously those problems would definitely have improved at this point","Mar 19, 2023",0,Electron1997,42,"Jan 28, 2022","I must confess, I totally dislike these types of problems on leetcode.It is unclear which solution complexity is intended, and almost any brute-force solution passes with some heuristics on top of that.For example, just caching the answers worked for me. Here, in discussions, I see a lot of solutions that group all the words by size. However, it is quite obvious that both heuristics are extremely easy to break. So the actual reason all of that works is a set of unbelievably weak tests.Seeing these heuristics work may create the wrong impression of being the ""correct"" approaches. They are not, and it could be very misleading."
"consecutive-numbers
",136,135,they need consecutive number count and not only count,"Jul 18, 2024",0,mahantadattu,0,"Jun 24, 2024",SELECT COUNT(DISTINCT num) AS ConsecutiveNums FROM Logs GROUP BY num HAVING COUNT(num) >= 3; can anyone tell me how this is wrong?
"find-closest-number-to-zero
",4,1,because u might be storing only the magnitude of -1321 as ur ans,"Mar 04, 2023",0,HNcodes,8,"Feb 09, 2023","My output:
1321Expected Output:
-1321Can someone please explain why?"
"greatest-common-divisor-of-strings
",350,349,"got it from stdout by printing gcd, it prints","Sep 03, 2023",0,zatha,0,"Sep 03, 2023","return str1[:gcd(len(str1),len(str2))] if str1+str2==str2+str1 else """"
i don't know how it was executed, where is the gcd definition, it internally defined or imported in leetcode iimplementation"
"calculate-money-in-leetcode-bank
",65,64,"It's reserved keyword, analog of the this, in Python","Dec 11, 2023",0,VMAtm,0,"Dec 11, 2023",what is the self means?
"number-of-beautiful-pairs
",15,14,you can get first digit without using helper function also :),"Jul 29, 2023",0,SahilNikam,0,"Jul 29, 2023","To solve this problem, we can use the given helper functions gF and gL (getFirstDigit and getLastDigit) to extract the first and last digits of a given number. Then, we need to calculate the GCD (greatest common divisor) of the first digit of nums[i] and the last digit of nums[j] for all valid pairs (i, j) and count the beautiful pairs where the GCD is equal to 1."
"find-the-pivot-integer
",23,18,,"Mar 13, 2024",7,Msey,38,"Nov 27, 2022",Four solutions possible;
"delete-characters-to-make-fancy-string
",22,17,i used two pointer also,"Nov 01, 2024",0,RaunakKunti,22,"Nov 01, 2024",anyone use two pointer?
"profitable-schemes
",76,75,Here are some problems that build upon Knapsack concept:,"Aug 02, 2024",0,rohis,0,"Apr 21, 2023",Can somebody provide more Knapsack problems please
"binary-tree-tilt
",33,32,"yes it is,","Apr 17, 2024",0,arurahul16,0,"Nov 30, 2023",havent tried to solve but is this really a easy question?
"single-number-iii
",78,77,@Yaoshiko upvotami almeno così facciamo karma,"May 31, 2024",0,Sebat,1,"May 31, 2024",nicola io mollo
"maximum-number-of-moves-in-a-grid
",49,44,"Thanks, totally thought it was you could start from any position in the first row and didn't realize it was from the first column.","Oct 29, 2024",4,holfeld,10,"Oct 29, 2024","If you are not able to understand the second test case, then you should give a second read to the second line of the question!
Keep Coding!"
"minimum-number-of-seconds-to-make-mountain-height-zero
",39,38,me also but not is one go.,"Sep 22, 2024",0,anas980,1,"Sep 22, 2024",broo i solved it in one go using priority queue
